fixture_id,match,window_5min,period_label,receptivity_score,ad_label,dominant_emotion,mean_arousal,mean_valence,mean_pressure,tweet_count,high_intensity_count,recent_high_intensity
11867556,AFC Bournemouth vs Tottenham Hotspur,105.0,2nd_half,0.8704841732978821,AD_SAFE,neutral,0.3237895667552948,0.0287149138748645,0.0,1,0,0
11867561,Everton vs Southampton,90.0,2nd_half,0.8270801178216934,AD_SAFE,neutral,0.3303291797637939,-0.183941051363945,1.0,1,0,0
11867561,Everton vs Southampton,105.0,2nd_half,0.8738425612449646,AD_SAFE,neutral,0.3153935968875885,0.012366552837193,0.0,1,0,0
11867566,AFC Bournemouth vs Leicester City,-30.0,pre_match,0.8367178916931153,AD_SAFE,neutral,0.4082052707672119,0.1897397190332412,0.0,1,0,0
11867566,AFC Bournemouth vs Leicester City,-20.0,pre_match,0.8331713438034057,AD_SAFE,neutral,0.4170716404914856,0.365923136472702,0.0,1,0,0
11867569,Liverpool vs Burnley,110.0,2nd_half,0.8550089949653262,AD_SAFE,neutral,0.3624775125866845,0.1637445466559646,0.0,42,0,0
11867572,Sheffield United vs Chelsea,25.0,1st_half,0.8426729778805748,AD_SAFE,neutral,0.3630001306533813,-0.06063484929036348,0.0,5,0,0
11867572,Sheffield United vs Chelsea,45.0,2nd_half,0.8172889129234477,AD_SAFE,neutral,0.40416328360637027,-0.0932288681700205,0.6,12,0,0
11867572,Sheffield United vs Chelsea,55.0,2nd_half,0.8457616329193115,AD_SAFE,neutral,0.3855959177017212,0.01842463611123654,0.0,13,0,0
11867573,Tottenham Hotspur vs Arsenal,75.0,2nd_half,0.8314158394476947,AD_SAFE,neutral,0.41146040138076334,0.06647250445744513,1.0,34,0,0
11867575,Wolverhampton Wanderers vs Everton,85.0,2nd_half,0.8280989818980417,AD_SAFE,neutral,0.4109040641072971,-0.03769696229519741,0.0,67,0,0
11867577,Burnley vs Wolverhampton Wanderers,-30.0,pre_match,0.8709977626800537,AD_SAFE,neutral,0.3225055932998657,0.0583237037062644,0.0,1,0,0
11867577,Burnley vs Wolverhampton Wanderers,10.0,1st_half,0.8718102514743805,AD_SAFE,neutral,0.32047437131404877,0.01396935619413845,0.0,2,0,0
11867577,Burnley vs Wolverhampton Wanderers,35.0,1st_half,0.8702988684177398,AD_SAFE,neutral,0.32425282895565033,0.029877004213631098,0.0,2,0,0
11867577,Burnley vs Wolverhampton Wanderers,115.0,2nd_half,0.8719095826148987,AD_SAFE,neutral,0.3202260434627533,0.0281778257340192,0.0,1,0,0
11867578,Chelsea vs Norwich City,-25.0,pre_match,0.8712881684303284,AD_SAFE,neutral,0.3217795789241791,0.031108667142689148,0.0,2,0,0
11867578,Chelsea vs Norwich City,-5.0,pre_match,0.869772481918335,AD_SAFE,neutral,0.32556879520416254,0.023864977488604614,0.0,6,0,0
11867578,Chelsea vs Norwich City,75.0,2nd_half,0.8572737432039701,AD_SAFE,neutral,0.34781564199007475,0.0024468622779330296,0.8999999999999999,13,0,0
11867578,Chelsea vs Norwich City,90.0,2nd_half,0.8609426074557834,AD_SAFE,neutral,0.3476434813605414,0.1232993364748027,0.0,9,0,0
11867579,Crystal Palace vs Manchester United,60.0,2nd_half,0.8349769306508069,AD_SAFE,neutral,0.37906325766534515,-0.05498883141527502,0.6,132,0,0
11867579,Crystal Palace vs Manchester United,70.0,2nd_half,0.834616001061998,AD_SAFE,neutral,0.3951776377532793,-0.03056471918345146,0.3,46,0,0
11867579,Crystal Palace vs Manchester United,85.0,2nd_half,0.8255539945115081,AD_SAFE,neutral,0.4184889287659616,-0.035252169910536126,0.0,66,0,0
