fixture_id,match,kickoff_utc,gameweek,home_team,away_team,derby,derby_name,home_position_pre,away_position_pre,home_points_pre,away_points_pre,home_gd_pre,away_gd_pre,home_goals_pre,away_goals_pre,home_goals_final,away_goals_final,row_type,row_type_priority,minute_sort,minute,extra_minute,minute_label,participant_id,participant_name,participant_location,player_id,player_name,related_player_id,related_player_name,event_category,event_type_name,event_type_code,info,addition,period_label,time_added_minutes,first_half_added_minutes,second_half_added_minutes,whistle_type,whistle_utc,pressure_value,row_sequence_in_match,row_sequence_global
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,31.0,31.0,,31,65.0,Southampton,away,1450.0,D. Ings,172357.0,Stuart Armstrong,goal,Goal,goal,,1st Goal,,,0.0,,,,,5,43
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,34.0,34.0,,34,65.0,Southampton,away,1393.0,J. Stephens,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,6,44
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,42.0,42.0,,42,13.0,Everton,home,814.0,Dejan Joksimovic,159372.0,André Gomes,substitution,Substitution,substitution,,,,,0.0,,,,,7,45
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,44.0,44.0,,44,13.0,Everton,home,219633.0,Richarlison,95368.0,L. Digne,goal,Goal,goal,,2nd Goal,,,0.0,,,,,8,46
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,period,2,45.0,45.0,,,,,,,,,,period,period,,,,2nd_half,,0.0,,,,,9,47
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,whistle,5,45.0,45.0,,,,,,,,,,,,,,,,,0.0,,half_time,2020-07-09 17:45:00+00:00,,10,48
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,46.0,46.0,,46,13.0,Everton,home,95699.0,Djibril Sidibé,1881.0,Alex Iwobi,substitution,Substitution,substitution,,,,,0.0,,,,,11,49
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,46.0,45.0,1.0,45+1,13.0,Everton,home,219633.0,Richarlison,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,12,50
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,46.0,45.0,1.0,45+1,13.0,Everton,home,5141.0,Dominic Calvert-Lewin,,,card,Yellowcard,yellowcard,Argument,,,,0.0,,,,,13,51
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,61.0,61.0,,61,65.0,Southampton,away,155138.0,Jan Bednarek,,,card,Yellowcard,yellowcard,Foul,,,,0.0,,,,,14,52
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,68.0,68.0,,68,13.0,Everton,home,133769.0,Moise Kean,5141.0,Dominic Calvert-Lewin,substitution,Substitution,substitution,,,,,0.0,,,,,15,53
11867561,Everton vs Southampton,2020-07-09 17:00:00+00:00,1,Everton,Southampton,0,,,,,,,,,,1,1,event,4,69.0,69.0,,69,65.0,Southampton,away,1744.0,Pierre-Emile Höjbjerg ,1505.0,Oriol Romeu,substitution,Substitution,substitution,,,,,0.0,,,,,16,54
