fixture_id,match,period_id,period_type_id,period_label,started_utc,ended_utc,counts_from,minutes,time_added_minutes
11867601,Leicester City vs Manchester United,3371018,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867601,Leicester City vs Manchester United,447801,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867602,Manchester City vs Norwich City,3371020,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867602,Manchester City vs Norwich City,3371021,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867603,Newcastle United vs Liverpool,3371022,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867603,Newcastle United vs Liverpool,3371023,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867604,Southampton vs Sheffield United,3371024,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867604,Southampton vs Sheffield United,3371025,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867605,West Ham United vs Aston Villa,3371026,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867605,West Ham United vs Aston Villa,3371027,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
16924598,Fulham vs Arsenal,3739234,1,1st_half,2020-09-12 11:30:00+00:00,2020-09-12 12:15:00+00:00,0,45,0.0
16924598,Fulham vs Arsenal,524551,2,2nd_half,2020-09-12 12:30:00+00:00,2020-09-12 13:15:00+00:00,45,90,
16924597,Crystal Palace vs Southampton,3739232,1,1st_half,2020-09-12 14:00:00+00:00,2020-09-12 14:45:00+00:00,0,45,0.0
16924597,Crystal Palace vs Southampton,524552,2,2nd_half,2020-09-12 15:00:00+00:00,2020-09-12 15:45:00+00:00,45,90,
16924599,Liverpool vs Leeds United,3739236,1,1st_half,2020-09-12 16:30:00+00:00,2020-09-12 17:15:00+00:00,0,45,0.0
16924599,Liverpool vs Leeds United,524553,2,2nd_half,2020-09-12 17:30:00+00:00,2020-09-12 18:15:00+00:00,45,90,
16924602,West Ham United vs Newcastle United,3739242,1,1st_half,2020-09-12 19:00:00+00:00,2020-09-12 19:45:00+00:00,0,45,0.0
16924602,West Ham United vs Newcastle United,458663,2,2nd_half,2020-09-12 20:00:00+00:00,2020-09-12 20:45:00+00:00,45,90,
16924601,West Bromwich Albion vs Leicester City,3739240,1,1st_half,2020-09-13 13:00:00+00:00,2020-09-13 13:45:00+00:00,0,45,0.0
16924601,West Bromwich Albion vs Leicester City,524573,2,2nd_half,2020-09-13 14:00:00+00:00,2020-09-13 14:45:00+00:00,45,90,
16924600,Tottenham Hotspur vs Everton,3739238,1,1st_half,2020-09-13 15:30:00+00:00,2020-09-13 16:15:00+00:00,0,45,0.0
16924600,Tottenham Hotspur vs Everton,524561,2,2nd_half,2020-09-13 16:30:00+00:00,2020-09-13 17:15:00+00:00,45,90,
16924604,Sheffield United vs Wolverhampton Wanderers,3739246,1,1st_half,2020-09-14 17:00:00+00:00,2020-09-14 17:45:00+00:00,0,45,0.0
16924604,Sheffield United vs Wolverhampton Wanderers,524555,2,2nd_half,2020-09-14 18:00:00+00:00,2020-09-14 18:45:00+00:00,45,90,
16924603,Brighton & Hove Albion vs Chelsea,3739244,1,1st_half,2020-09-14 19:15:00+00:00,2020-09-14 20:00:00+00:00,0,45,0.0
16924603,Brighton & Hove Albion vs Chelsea,524557,2,2nd_half,2020-09-14 20:15:00+00:00,2020-09-14 21:00:00+00:00,45,90,
16924608,Everton vs West Bromwich Albion,3739254,1,1st_half,2020-09-19 11:30:00+00:00,2020-09-19 12:15:00+00:00,0,45,0.0
16924608,Everton vs West Bromwich Albion,524564,2,2nd_half,2020-09-19 12:30:00+00:00,2020-09-19 13:15:00+00:00,45,90,
16924609,Leeds United vs Fulham,3739256,1,1st_half,2020-09-19 14:00:00+00:00,2020-09-19 14:45:00+00:00,0,45,0.0
16924609,Leeds United vs Fulham,524556,2,2nd_half,2020-09-19 15:00:00+00:00,2020-09-19 15:45:00+00:00,45,90,
16924611,Manchester United vs Crystal Palace,3739260,1,1st_half,2020-09-19 16:30:00+00:00,2020-09-19 17:15:00+00:00,0,45,0.0
16924611,Manchester United vs Crystal Palace,524560,2,2nd_half,2020-09-19 17:30:00+00:00,2020-09-19 18:15:00+00:00,45,90,
16924605,Arsenal vs West Ham United,3739248,1,1st_half,2020-09-19 19:00:00+00:00,2020-09-19 19:45:00+00:00,0,45,0.0
16924605,Arsenal vs West Ham United,524554,2,2nd_half,2020-09-19 20:00:00+00:00,2020-09-19 20:45:00+00:00,45,90,
16924613,Southampton vs Tottenham Hotspur,3739264,1,1st_half,2020-09-20 11:00:00+00:00,2020-09-20 11:45:00+00:00,0,45,0.0
16924613,Southampton vs Tottenham Hotspur,524569,2,2nd_half,2020-09-20 12:00:00+00:00,2020-09-20 12:45:00+00:00,45,90,
16924612,Newcastle United vs Brighton & Hove Albion,3739262,1,1st_half,2020-09-20 13:00:00+00:00,2020-09-20 13:45:00+00:00,0,45,0.0
16924612,Newcastle United vs Brighton & Hove Albion,524566,2,2nd_half,2020-09-20 14:00:00+00:00,2020-09-20 14:45:00+00:00,45,90,
16924607,Chelsea vs Liverpool,3739252,1,1st_half,2020-09-20 15:30:00+00:00,2020-09-20 16:15:00+00:00,0,45,0.0
16924607,Chelsea vs Liverpool,524558,2,2nd_half,2020-09-20 16:30:00+00:00,2020-09-20 17:15:00+00:00,45,90,
16924610,Leicester City vs Burnley,3739258,1,1st_half,2020-09-20 18:00:00+00:00,2020-09-20 18:45:00+00:00,0,45,0.0
16924610,Leicester City vs Burnley,524567,2,2nd_half,2020-09-20 19:00:00+00:00,2020-09-20 19:45:00+00:00,45,90,
16924606,Aston Villa vs Sheffield United,3739250,1,1st_half,2020-09-21 17:00:00+00:00,2020-09-21 17:45:00+00:00,0,45,0.0
16924606,Aston Villa vs Sheffield United,524563,2,2nd_half,2020-09-21 18:00:00+00:00,2020-09-21 18:45:00+00:00,45,90,
16924614,Wolverhampton Wanderers vs Manchester City,3739266,1,1st_half,2020-09-21 19:15:00+00:00,2020-09-21 20:00:00+00:00,0,45,0.0
16924614,Wolverhampton Wanderers vs Manchester City,524562,2,2nd_half,2020-09-21 20:15:00+00:00,2020-09-21 21:00:00+00:00,45,90,
16924615,Brighton & Hove Albion vs Manchester United,3739268,1,1st_half,2020-09-26 11:30:00+00:00,2020-09-26 12:15:00+00:00,0,45,0.0
16924615,Brighton & Hove Albion vs Manchester United,524577,2,2nd_half,2020-09-26 12:30:00+00:00,2020-09-26 13:15:00+00:00,45,90,
16924617,Crystal Palace vs Everton,3739272,1,1st_half,2020-09-26 14:00:00+00:00,2020-09-26 14:45:00+00:00,0,45,0.0
16924617,Crystal Palace vs Everton,524568,2,2nd_half,2020-09-26 15:00:00+00:00,2020-09-26 15:45:00+00:00,45,90,
16924623,West Bromwich Albion vs Chelsea,3739284,1,1st_half,2020-09-26 16:30:00+00:00,2020-09-26 17:15:00+00:00,0,45,0.0
16924623,West Bromwich Albion vs Chelsea,524576,2,2nd_half,2020-09-26 17:30:00+00:00,2020-09-26 18:15:00+00:00,45,90,
16924616,Burnley vs Southampton,3739270,1,1st_half,2020-09-26 19:00:00+00:00,2020-09-26 19:45:00+00:00,0,45,0.0
16924616,Burnley vs Southampton,524565,2,2nd_half,2020-09-26 20:00:00+00:00,2020-09-26 20:45:00+00:00,45,90,
16924621,Sheffield United vs Leeds United,3739280,1,1st_half,2020-09-27 11:00:00+00:00,2020-09-27 11:45:00+00:00,0,45,0.0
16924621,Sheffield United vs Leeds United,524574,2,2nd_half,2020-09-27 12:00:00+00:00,2020-09-27 12:45:00+00:00,45,90,
16924622,Tottenham Hotspur vs Newcastle United,3739282,1,1st_half,2020-09-27 13:00:00+00:00,2020-09-27 13:45:00+00:00,0,45,0.0
16924622,Tottenham Hotspur vs Newcastle United,524572,2,2nd_half,2020-09-27 14:00:00+00:00,2020-09-27 14:45:00+00:00,45,90,
16924620,Manchester City vs Leicester City,3739278,1,1st_half,2020-09-27 15:30:00+00:00,2020-09-27 16:15:00+00:00,0,45,0.0
16924620,Manchester City vs Leicester City,524571,2,2nd_half,2020-09-27 16:30:00+00:00,2020-09-27 17:15:00+00:00,45,90,
16924624,West Ham United vs Wolverhampton Wanderers,3739286,1,1st_half,2020-09-27 18:00:00+00:00,2020-09-27 18:45:00+00:00,0,45,0.0
16924624,West Ham United vs Wolverhampton Wanderers,458666,2,2nd_half,2020-09-27 19:00:00+00:00,2020-09-27 19:45:00+00:00,45,90,
16924618,Fulham vs Aston Villa,3739274,1,1st_half,2020-09-28 16:45:00+00:00,2020-09-28 17:30:00+00:00,0,45,0.0
16924618,Fulham vs Aston Villa,458665,2,2nd_half,2020-09-28 17:45:00+00:00,2020-09-28 18:30:00+00:00,45,90,
16924619,Liverpool vs Arsenal,3739276,1,1st_half,2020-09-28 19:00:00+00:00,2020-09-28 19:45:00+00:00,0,45,0.0
16924619,Liverpool vs Arsenal,458664,2,2nd_half,2020-09-28 20:00:00+00:00,2020-09-28 20:45:00+00:00,45,90,
16924627,Chelsea vs Crystal Palace,3739292,1,1st_half,2020-10-03 11:30:00+00:00,2020-10-03 12:15:00+00:00,0,45,0.0
16924627,Chelsea vs Crystal Palace,458668,2,2nd_half,2020-10-03 12:30:00+00:00,2020-10-03 13:15:00+00:00,45,90,
16924628,Everton vs Brighton & Hove Albion,3739294,1,1st_half,2020-10-03 14:00:00+00:00,2020-10-03 14:45:00+00:00,0,45,0.0
16924628,Everton vs Brighton & Hove Albion,458667,2,2nd_half,2020-10-03 15:00:00+00:00,2020-10-03 15:45:00+00:00,45,90,
16924629,Leeds United vs Manchester City,3739296,1,1st_half,2020-10-03 16:30:00+00:00,2020-10-03 17:15:00+00:00,0,45,0.0
16924629,Leeds United vs Manchester City,524578,2,2nd_half,2020-10-03 17:30:00+00:00,2020-10-03 18:15:00+00:00,45,90,
16924632,Newcastle United vs Burnley,3739302,1,1st_half,2020-10-03 19:00:00+00:00,2020-10-03 19:45:00+00:00,0,45,0.0
16924632,Newcastle United vs Burnley,524581,2,2nd_half,2020-10-03 20:00:00+00:00,2020-10-03 20:45:00+00:00,45,90,
16924630,Leicester City vs West Ham United,3739298,1,1st_half,2020-10-04 11:00:00+00:00,2020-10-04 11:45:00+00:00,0,45,0.0
16924630,Leicester City vs West Ham United,458669,2,2nd_half,2020-10-04 12:00:00+00:00,2020-10-04 12:45:00+00:00,45,90,
16924633,Southampton vs West Bromwich Albion,3739304,1,1st_half,2020-10-04 11:00:00+00:00,2020-10-04 11:45:00+00:00,0,45,0.0
16924633,Southampton vs West Bromwich Albion,524580,2,2nd_half,2020-10-04 12:00:00+00:00,2020-10-04 12:45:00+00:00,45,90,
16924625,Arsenal vs Sheffield United,3739288,1,1st_half,2020-10-04 13:00:00+00:00,2020-10-04 13:45:00+00:00,0,45,0.0
16924625,Arsenal vs Sheffield United,524570,2,2nd_half,2020-10-04 14:00:00+00:00,2020-10-04 14:45:00+00:00,45,90,
16924634,Wolverhampton Wanderers vs Fulham,3739306,1,1st_half,2020-10-04 13:00:00+00:00,2020-10-04 13:45:00+00:00,0,45,0.0
16924634,Wolverhampton Wanderers vs Fulham,458670,2,2nd_half,2020-10-04 14:00:00+00:00,2020-10-04 14:45:00+00:00,45,90,
16924631,Manchester United vs Tottenham Hotspur,3739300,1,1st_half,2020-10-04 15:30:00+00:00,2020-10-04 16:15:00+00:00,0,45,0.0
16924631,Manchester United vs Tottenham Hotspur,524579,2,2nd_half,2020-10-04 16:30:00+00:00,2020-10-04 17:15:00+00:00,45,90,
16924626,Aston Villa vs Liverpool,3739290,1,1st_half,2020-10-04 18:15:00+00:00,2020-10-04 19:00:00+00:00,0,45,0.0
16924626,Aston Villa vs Liverpool,524575,2,2nd_half,2020-10-04 19:15:00+00:00,2020-10-04 20:00:00+00:00,45,90,
